"Lab_number","State","Water_body","Location","Station_ID","Sample_Date","Sample_Year","Sample_Month","Veligers_Observed","Veligers_L","Microscopy_result","QuaggaMusselPCRType","ZebraMusselPCRType","DNASequencingResultType"
211127,"AZ","Bartlett Reservoir","BOAT RAMP","B-MBL",2021-07-25,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
211129,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2021-07-25,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
211130,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-07-25,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
211131,"AZ","Theodore Roosevelt Lake","DAM","R-D",2021-07-25,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
211132,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2021-07-25,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
211134,"AZ","Apache Lake","DAM","A-D",2021-07-26,"2021","July","276","0.78092025410423316","Positive","Not Tested","Not Tested","Not Tested"
211135,"AZ","Apache Lake","DAM 5 M","A-D",2021-07-26,"2021","July","373","0.17589568525415394","Positive","Not Tested","Not Tested","Not Tested"
211136,"AZ","Apache Lake","MARINA","A-M",2021-07-26,"2021","July","184","4.7328500248741405E-2","Positive","Not Tested","Not Tested","Not Tested"
211137,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2021-07-26,"2021","July","449","7.9400632720290007E-2","Positive","Not Tested","Not Tested","Not Tested"
211138,"AZ","Apache Lake","THREE MILE","A-TMI",2021-07-26,"2021","July","2","9.4314040350752782E-4","Positive","Not Tested","Not Tested","Not Tested"
211139,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2021-07-27,"2021","July","404","0.19051436150852064","Positive","Not Tested","Not Tested","Not Tested"
211140,"AZ","Saguaro Lake","MARINA","S-MD",2021-07-27,"2021","July","0","0","Negative","Not Tested","Not Tested","Not Tested"
211141,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2021-07-27,"2021","July","0","0","Negative","Not Tested","Not Tested","Not Tested"
211142,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-07-27,"2021","July","0","0","Negative","Negative","Negative","Not Tested"
211144,"AZ","Canyon Lake","BELOW DAM","C-BD",2021-07-27,"2021","July","21","5.9417845420974254E-3","Positive","Not Tested","Not Tested","Not Tested"
211145,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2021-07-27,"2021","July","4817","2.725864394217457","Positive","Not Tested","Not Tested","Not Tested"
211146,"AZ","Canyon Lake","DAM 0-5 M","C-D",2021-07-27,"2021","July","254","0.14373459749454726","Positive","Not Tested","Not Tested","Not Tested"
211147,"AZ","Canyon Lake","DAM 5-29 M","C-D",2021-07-27,"2021","July","586","8.2902041468311705E-2","Positive","Not Tested","Not Tested","Not Tested"
211148,"AZ","Canyon Lake","MARINA","C-M",2021-07-27,"2021","July","SAMPLE LOST - NO DATA","N/A",NA,"Not Tested","Not Tested","Not Tested"
211380,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-08-22,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211381,"AZ","Bartlett Reservoir","DAM","B-D",2021-08-22,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211382,"AZ","Bartlett Reservoir","MARINA","B-M",2021-08-22,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211383,"AZ","Bartlett Reservoir","BOAT RAMP","B-MBL",2021-08-22,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211385,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2021-08-23,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211386,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-08-23,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211387,"AZ","Theodore Roosevelt Lake","DAM","R-D",2021-08-23,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211388,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2021-08-23,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211390,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2021-08-23,"2021","August","3","1.4147106052612918E-3","Positive","Not Tested","Not Tested","Not Tested"
211391,"AZ","Saguaro Lake","MARINA","S-MD",2021-08-23,"2021","August","0","0","Negative","Not Tested","Not Tested","Not Tested"
211392,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2021-08-23,"2021","August","0","0","Negative","Not Tested","Not Tested","Not Tested"
211393,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-08-23,"2021","August","0","0","Negative","Negative","Negative","Not Tested"
211395,"AZ","Canyon Lake","BELOW DAM","C-BD",2021-08-23,"2021","August","0","0","Negative","Not Tested","Not Tested","Not Tested"
211396,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2021-08-23,"2021","August","485","0.27445385742069062","Positive","Not Tested","Not Tested","Not Tested"
211397,"AZ","Canyon Lake","DAM 0-5 M","C-D",2021-08-23,"2021","August","1","5.6588424210451678E-4","Positive","Not Tested","Not Tested","Not Tested"
211398,"AZ","Canyon Lake","DAM 5-29 M","C-D",2021-08-23,"2021","August","2","2.8294212105225839E-4","Positive","Not Tested","Not Tested","Not Tested"
211399,"AZ","Canyon Lake","MARINA","C-M",2021-08-23,"2021","August","15","3.5367765131532297E-3","Positive","Not Tested","Not Tested","Not Tested"
211777,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-09-20,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211778,"AZ","Bartlett Reservoir","DAM","B-D",2021-09-20,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211779,"AZ","Bartlett Reservoir","MARINA","B-M",2021-09-20,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
211780,"AZ","Bartlett Reservoir","BOAT RAMP","B-MBL",2021-09-20,"2021","September","0","0","Negative","Negative","Negative","Not Tested"
